city_name,state_name,state_code,age_median,popul_male,popul_female,household_size_ave,popul_total,share_female,popul_density,lat,lng
Garland,Texas,TX,34.5,582030,602150,3.12,1184180,0.51,1653.72,32.908436,-96.635824
Gary,Indiana,IN,38.1,179380,207390,2.35,386770,0.54,733.43,41.580381428571435,-87.34297285714285
Gastonia,North Carolina,NC,36.9,177635,195115,2.67,372750,0.52,444.17,35.23457666666666,-81.16968666666666
German,Maryland,MD,34.9,205575,215035,2.95,420610,0.51,,,
Gilbert,Arizona,AZ,33.2,583555,654060,3.2,1237615,0.53,1346.6,33.31286166666667,-111.74857333333334
Glen Burnie,Maryland,MD,36.5,166990,182305,2.58,349295,0.52,1394.45,39.164874999999995,-76.606735
Glendale,Arizona,AZ,34.4,583975,616595,2.89,1200570,0.51,1641.63,33.58638555555555,-112.20632888888889
Glendale,California,CA,42.1,490905,514220,2.69,1005125,0.51,4260.64,34.1606,-118.2545777777778
Goodyear,Arizona,AZ,38.6,183555,211460,2.97,395015,0.54,543.35,33.426285,-112.40123
Grand Prairie,Texas,TX,33.1,454055,484720,3.18,938775,0.52,1058.4,32.68954,-97.01667249999998
Grand Rapids,Michigan,MI,32.1,478345,497150,2.56,975495,0.51,1153.01,42.950604999999996,-85.64740083333334
Greeley,Colorado,CO,31.0,253960,250455,2.75,504415,0.5,414.65,40.42209,-104.7344
Green Bay,Wisconsin,WI,32.9,262585,263520,2.37,526105,0.5,1496.1,44.508919999999996,-88.02265285714286
Greensboro,North Carolina,NC,35.5,661255,765465,2.36,1426720,0.54,759.98,36.08421,-79.82543444444445
Greenville,North Carolina,NC,26.2,199485,253455,2.4,452940,0.56,252.2,35.595315,-77.34092
Gresham,Oregon,OR,36.7,269330,283580,2.67,552910,0.51,1375.8,45.493719999999996,-122.410715
Guaynabo,Puerto Rico,PR,42.2,66132,74852,,140984,0.53,2504.38,18.386208,-66.11206200000001
Gulfport,Mississippi,MS,35.1,132432,155056,2.54,287488,0.54,541.27,30.41997333333333,-89.09762666666666
Hammond,Indiana,IN,36.0,194615,193435,2.61,388050,0.5,1287.4,41.611345,-87.4914225
Hampton,Virginia,VA,35.5,331070,351200,2.48,682270,0.51,1062.1,37.052600000000005,-76.35077833333334
Harlingen,Texas,TX,30.100000000000005,97212,100095,3.0,197307,0.51,255.25,26.225915,-97.70848
Hartford,Connecticut,CT,31.0,290210,329860,2.59,620070,0.53,2199.49,41.76849857142857,-72.68513571428572
Hawthorne,California,CA,33.7,218410,223810,2.97,442220,0.51,5598.4,33.91436,-118.34931
Hayward,California,CA,34.3,390760,400740,3.3199999999999994,791500,0.51,1955.0,37.645675,-122.0746475
Hemet,California,CA,36.8,193110,226255,2.97,419365,0.54,494.2,33.69138,-116.96434
Henderson,Nevada,NV,42.5,697060,731230,2.55,1428290,0.51,1102.84,36.01105,-115.03461125
